Ronda,Equipo 1,Goles Eq1, Goles Eq2, Equipo 2
1,Argentina,1,2,Arabia Saudita
1,Polonia,0,0,México
1,Argentina,2,0,México
1,Arabia Saudita,0,2,Polonia
